name,stars,url,query_found_in
mathworks-robotics/awesome-matlab-robotics,456,https://github.com/mathworks-robotics/awesome-matlab-robotics,3
typst-cn/awesome-typst-cn,424,https://github.com/typst-cn/awesome-typst-cn,3
MarvNC/yomitan-dictionaries,416,https://github.com/MarvNC/yomitan-dictionaries,3
chainloop-dev/chainloop,378,https://github.com/chainloop-dev/chainloop,3
CycloneDX/specification,375,https://github.com/CycloneDX/specification,"3,4"
sashahart/vex,372,https://github.com/sashahart/vex,3
bnagy/cgasm,370,https://github.com/bnagy/cgasm,3
wyhinton/AwesomeHoudini,365,https://github.com/wyhinton/AwesomeHoudini,3
Pestov/best-of-awesomeness-and-usefulness-for-webdev,357,https://github.com/Pestov/best-of-awesomeness-and-usefulness-for-webdev,3
CMB/edbrowse,350,https://github.com/CMB/edbrowse,3
angr/pyvex,345,https://github.com/angr/pyvex,3
nedpals/vex,342,https://github.com/nedpals/vex,3
asmjit/asmdb,331,https://github.com/asmjit/asmdb,3
mektigboy/evm-chad,331,https://github.com/mektigboy/evm-chad,3
cointastical/P2P-Trading-Exchanges,327,https://github.com/cointastical/P2P-Trading-Exchanges,3
CycloneDX/cyclonedx-cli,321,https://github.com/CycloneDX/cyclonedx-cli,4
GrammaTech/gtirb,320,https://github.com/GrammaTech/gtirb,3
xGinko/AnarchyExploitFixes,318,https://github.com/xGinko/AnarchyExploitFixes,3
devtooligan/awesome-huff,310,https://github.com/devtooligan/awesome-huff,3
CycloneDX/cyclonedx-maven-plugin,303,https://github.com/CycloneDX/cyclonedx-maven-plugin,4
bureado/awesome-software-supply-chain-security,300,https://github.com/bureado/awesome-software-supply-chain-security,3
Xunnamius/next-test-api-route-handler,298,https://github.com/Xunnamius/next-test-api-route-handler,3
garyaiki/Scala-Algorithms,295,https://github.com/garyaiki/Scala-Algorithms,3
reubano/pygogo,282,https://github.com/reubano/pygogo,3
purduesigbots/pros,274,https://github.com/purduesigbots/pros,3
bsauce/Some-Papers-About-Fuzzing,273,https://github.com/bsauce/Some-Papers-About-Fuzzing,3
jilleb/mqb-pm,271,https://github.com/jilleb/mqb-pm,3
china-testing/python_cn_resouce,262,https://github.com/china-testing/python_cn_resouce,3
chloneda/vim-cheatsheet,260,https://github.com/chloneda/vim-cheatsheet,3
muqsitnawaz/modern-cpp-cheatsheet,259,https://github.com/muqsitnawaz/modern-cpp-cheatsheet,3
wmkhoo/taintgrind,254,https://github.com/wmkhoo/taintgrind,3
tunnckoCore/resources,248,https://github.com/tunnckoCore/resources,3
philippotto/Piano-Trainer,245,https://github.com/philippotto/Piano-Trainer,3
ffd8/P5LIVE,235,https://github.com/ffd8/P5LIVE,3
bin2415/fuzzing_paper,226,https://github.com/bin2415/fuzzing_paper,3
RobRich999/Chromium_Clang,223,https://github.com/RobRich999/Chromium_Clang,3
dale3h/alexa-skills-list,222,https://github.com/dale3h/alexa-skills-list,3
jakub-zawislak/formex,221,https://github.com/jakub-zawislak/formex,3
anchore/scan-action,221,https://github.com/anchore/scan-action,3
HackathonHackers/groups,218,https://github.com/HackathonHackers/groups,3
themefisher/vex-hugo,217,https://github.com/themefisher/vex-hugo,3
